,아이디,맥주,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
873,"JPDIPSO(6,558)",Bavaria Pilsener,"April 7, 2004",2.1,4,3,4,2,8
874,Kalli(502),Bavaria Pilsener,"April 5, 2004",1.5,3,3,2,2,5
877,DerBiermeister(586),Bavaria Pilsener,"March 30, 2004",1.2,2,3,1,2,4
879,"ThomasE(5,173)",Bavaria Pilsener,"March 17, 2004",2.3,4,2,5,2,10
880,"caesar(7,642)",Bavaria Pilsener,"March 14, 2004",2.1,4,2,4,2,9
881,"skortila(6,537)",Bavaria Pilsener,"March 13, 2004",2.1,4,2,4,2,9
882,"Sigmund(10,890)",Bavaria Pilsener,"March 9, 2004",2.1,4,2,4,2,9
885,"bluevegie(3,073)",Bavaria Pilsener,"February 12, 2004",2.3,4,3,4,2,10
887,"hershiser2(6,873)",Bavaria Pilsener,"January 29, 2004",2.0,3,2,5,2,8
888,"Cartoonkhaki(1,380)",Bavaria Pilsener,"January 25, 2004",2.4,5,2,6,2,9
889,"ghawener(1,656)",Bavaria Pilsener,"January 24, 2004",2.5,2,4,6,3,10
890,"thegreenrooster(5,813)",Bavaria Pilsener,"January 23, 2004",2.2,4,4,3,4,7
891,"SpringsLicker(3,958)",Bavaria Pilsener,"January 21, 2004",2.4,3,3,3,3,12
892,jstu9(403),Bavaria Pilsener,"January 15, 2004",1.2,2,1,3,2,4
894,"egajdzis(8,446)",Bavaria Pilsener,"January 9, 2004",1.9,4,3,3,2,7
895,sethdude(708),Bavaria Pilsener,"December 12, 2003",1.5,3,2,3,2,5
897,HarmonKill-a-Brew(407),Bavaria Pilsener,"November 30, 2003",2.6,5,3,4,3,11
898,RaginCajun(320),Bavaria Pilsener,"November 27, 2003",0.5,1,1,1,1,1
901,Eirikur(386),Bavaria Pilsener,"November 8, 2003",2.1,5,4,4,2,6
902,"haukur(2,184)",Bavaria Pilsener,"April 6, 2004",1.8,2,2,4,2,8
903,"JoeM500(1,909)",Bavaria Pilsener,"October 10, 2003",1.1,2,2,2,1,4
904,y0cola(361),Bavaria Pilsener,"October 7, 2003",1.8,3,2,3,2,8
905,"larsniclas(8,768)",Bavaria Pilsener,"September 29, 2003",2.2,4,2,4,2,10
906,"rickgordon(3,878)",Bavaria Pilsener,"September 25, 2003",2.2,4,2,4,2,10
907,"rlgk(18,838)",Bavaria Pilsener,"September 25, 2003",2.6,5,3,5,3,10
908,"Slick(1,970)",Bavaria Pilsener,"August 31, 2003",2.3,4,3,5,2,9
910,"Sully(1,380)",Bavaria Pilsener,"August 19, 2003",2.1,5,3,5,3,5
911,"Braudog(7,898)",Bavaria Pilsener,"August 8, 2003",1.0,1,1,3,2,3
912,Jedsbrew(464),Bavaria Pilsener,"August 4, 2003",3.3,6,4,7,4,12
913,Uglyradio(790),Bavaria Pilsener,"July 28, 2003",2.0,4,2,4,2,8
914,"CapFlu(5,136)",Bavaria Pilsener,"July 22, 2003",2.2,4,2,5,2,9
915,AustinMilbarge(681),Bavaria Pilsener,"July 17, 2003",1.9,4,2,4,2,7
916,ARMed(625),Bavaria Pilsener,"July 14, 2003",2.7,5,3,4,3,12
918,"jerohen(2,619)",Bavaria Pilsener,"December 14, 2003",3.0,6,3,6,3,12
919,"Frank(4,462)",Bavaria Pilsener,"July 1, 2003",1.1,1,1,3,2,4
922,"hotstuff(5,394)",Bavaria Pilsener,"June 5, 2003",1.8,3,3,4,3,5
923,"thedm(6,316)",Bavaria Pilsener,"June 5, 2003",2.1,7,2,4,2,6
924,JonR888710(999),Bavaria Pilsener,"May 29, 2003",1.9,4,2,5,2,6
925,"igneous1(1,549)",Bavaria Pilsener,"May 24, 2003",1.7,3,2,4,2,6
926,"leaparsons(12,356)",Bavaria Pilsener,"April 30, 2003",2.4,4,3,5,2,10
927,"RichardGretton(5,303)",Bavaria Pilsener,"April 29, 2003",2.9,6,3,6,3,11
928,"Shag(3,443)",Bavaria Pilsener,"December 20, 2003",2.6,5,2,6,2,11
929,"Spiesy(2,344)",Bavaria Pilsener,"April 27, 2003",1.5,4,2,3,1,5
930,amx1970390(480),Bavaria Pilsener,"April 11, 2003",2.2,7,3,4,2,6
931,Voivod(304),Bavaria Pilsener,"March 27, 2003",2.0,4,3,4,1,8
932,"PorterPounder(9,846)",Bavaria Pilsener,"June 25, 2008",2.5,4,3,5,3,10
933,"dwyerpg(8,389)",Bavaria Pilsener,"March 13, 2003",2.4,1,2,6,3,12
934,"Dorwart(2,689)",Bavaria Pilsener,"February 8, 2003",2.1,3,3,5,3,7
935,Skred(107),Bavaria Pilsener,"January 25, 2003",2.5,7,3,4,2,9
936,"Kåstå(1,273)",Bavaria Pilsener,"January 14, 2003",2.4,5,4,5,2,8
939,grant(842),Bavaria Pilsener,"January 8, 2003",2.0,3,4,4,2,7
940,ultraspank(867),Bavaria Pilsener,"January 6, 2003",3.7,7,3,7,5,15
942,Donatas(188),Bavaria Pilsener,"December 29, 2002",2.8,5,3,7,3,10
944,"ogivlado(11,549)",Bavaria Pilsener,"December 23, 2002",2.1,4,2,4,2,9
945,Catadobe(112),Bavaria Pilsener,"December 11, 2002",2.2,4,2,5,2,9
946,"johninmelb(1,131)",Bavaria Pilsener,"December 11, 2002",2.2,5,2,4,3,8
947,"TipsyMcStager(1,140)",Bavaria Pilsener,"December 7, 2002",2.4,6,2,5,2,9
948,"presario(4,914)",Bavaria Pilsener,"December 7, 2002",2.1,5,3,4,2,7
949,MikeF(538),Bavaria Pilsener,"November 24, 2002",2.7,4,3,5,3,12
951,daalamar(406),Bavaria Pilsener,"November 16, 2002",1.7,2,2,3,2,8
953,"Mads Langtved(2,240)",Bavaria Pilsener,"November 5, 2002",2.5,5,3,4,3,10
954,"Hildigöltur(5,102)",Bavaria Pilsener,"November 5, 2002",1.8,2,2,5,2,7
956,Nagash(207),Bavaria Pilsener,"October 8, 2002",2.9,5,3,6,3,12
957,LoveCaissa(873),Bavaria Pilsener,"October 3, 2002",2.4,5,3,5,2,9
958,"madsberg(11,906)",Bavaria Pilsener,"September 23, 2002",1.9,3,2,4,2,8
959,"maupie(2,423)",Bavaria Pilsener,"September 19, 2002",2.6,5,3,5,3,10
960,"Gusler(2,653)",Bavaria Pilsener,"September 13, 2002",1.4,3,3,3,2,3
961,beerslayer(753),Bavaria Pilsener,"September 9, 2002",2.7,4,3,6,3,11
962,"duff(5,483)",Bavaria Pilsener,"September 2, 2002",1.5,3,1,3,1,7
963,"OlJuntan64(1,264)",Bavaria Pilsener,"August 31, 2002",1.7,3,2,4,2,6
964,Ringo(964),Bavaria Pilsener,"August 27, 2002",1.9,3,2,3,2,9
966,winkle(478),Bavaria Pilsener,"August 25, 2002",1.9,2,2,5,2,8
968,"Panzuriel(2,662)",Bavaria Pilsener,"August 20, 2002",1.0,1,2,2,1,4
969,softale(188),Bavaria Pilsener,"August 14, 2002",2.2,4,3,4,2,9
970,SJP(483),Bavaria Pilsener,"August 9, 2002",2.6,5,3,5,3,10
972,JohnDo2000(99),Bavaria Pilsener,"July 23, 2002",2.3,5,2,4,2,10
973,"rauchbier(4,483)",Bavaria Pilsener,"July 5, 2002",2.6,6,3,5,2,10
974,"PhillyBeer2112(3,215)",Bavaria Pilsener,"July 2, 2002",1.1,2,2,2,1,4
976,"Drew(2,411)",Bavaria Pilsener,"June 25, 2002",1.4,4,2,2,1,5
977,grant60(185),Bavaria Pilsener,"June 22, 2002",2.1,4,3,4,2,8
978,"fraternie(1,115)",Bavaria Pilsener,"June 20, 2002",2.0,4,2,4,2,8
979,Jake Barnes(457),Bavaria Pilsener,"June 20, 2002",1.8,3,2,3,3,7
980,"Aurelius(6,516)",Bavaria Pilsener,"June 20, 2002",2.5,5,3,5,2,10
981,Odin(123),Bavaria Pilsener,"June 15, 2002",3.5,5,3,8,4,15
982,"Aubrey(3,516)",Bavaria Pilsener,"June 15, 2002",2.1,4,3,4,3,7
983,"austinpowers(2,835)",Bavaria Pilsener,"June 14, 2002",2.3,5,4,5,4,5
988,"omhper(30,800)",Bavaria Pilsener,"May 8, 2002",1.4,2,2,3,1,6
989,MarshallMac(143),Bavaria Pilsener,"May 6, 2002",3.1,5,3,6,3,14
990,greystreet80(191),Bavaria Pilsener,"April 22, 2002",0.8,1,2,1,1,3
991,Admiral(524),Bavaria Pilsener,"April 9, 2002",1.5,3,2,3,2,5
994,"IslandHaole(1,302)",Bavaria Pilsener,"March 24, 2002",2.4,4,3,5,3,9
996,mutant(854),Bavaria Pilsener,"March 8, 2002",1.4,3,2,2,1,6
998,"estoppel(1,028)",Bavaria Pilsener,"February 22, 2002",1.5,3,2,2,2,6
999,"Volgon(2,761)",Bavaria Pilsener,"February 17, 2002",1.8,6,2,3,1,6
1000,"Ernest(8,753)",Bavaria Pilsener,"July 29, 2007",2.1,4,2,4,3,8
1001,"pilsnerrogge(3,630)",Bavaria Pilsener,"May 25, 2011",2.0,3,3,3,2,9
1002,Nesta13(205),Bavaria Pilsener,"December 25, 2001",2.8,7,2,5,3,11
1005,jpm8920(153),Bavaria Pilsener,"November 8, 2001",3.0,6,2,6,4,12
1006,nigos(631),Bavaria Pilsener,"November 6, 2001",2.3,4,2,5,2,10
1007,K-V-F-L(291),Bavaria Pilsener,"October 16, 2001",3.2,6,3,7,3,13
1008,"motelpogo(7,699)",Bavaria Pilsener,"October 12, 2001",1.6,3,2,3,2,6
1009,"Radek Kliber(7,921)",Bavaria Pilsener,"December 4, 2006",1.9,4,3,3,2,7
1010,"Oakes(25,346)",Bavaria Pilsener,"April 21, 2005",3.1,7,3,6,3,12
1011,prpplague(247),Bavaria Pilsener,"September 30, 2001",3.7,7,4,8,4,14
1012,"Bov(14,984)",Bavaria Pilsener,"August 11, 2017",2.4,5,4,4,2,9
1013,"jbrus(4,987)",Bavaria Pilsener,"September 12, 2001",3.0,6,4,6,2,12
1014,"joet(2,898)",Bavaria Pilsener,"September 1, 2001",2.3,6,3,4,2,8
1015,Bloemart(256),Bavaria Pilsener,"August 23, 2001",2.7,5,3,6,2,11
1017,Osmin99(120),Bavaria Pilsener,"August 12, 2001",2.8,4,3,5,2,14
1019,DJH-Bird99(207),Bavaria Pilsener,"November 3, 2000",1.9,3,2,4,2,8
1,"Lore(4,436)",Bavaria 8.6 (Original),"November 14, 2020",3.6,7,4,7,3,15
2,"sparta(2,208)",Bavaria 8.6 (Original),"September 27, 2020",2.7,5,3,5,3,11
6,"Jorn69(5,129)",Bavaria 8.6 (Original),"February 25, 2020",2.2,5,2,5,2,8
7,"SVD(3,983)",Bavaria 8.6 (Original),"February 9, 2020",3.1,5,3,5,3,15
10,"mikske79(1,960)",Bavaria 8.6 (Original),"December 26, 2019",3.4,8,3,6,3,14
11,"zacgillbanks(7,345)",Bavaria 8.6 (Original),"December 7, 2019",2.4,5,2,5,2,10
12,gorthaurz(414),Bavaria 8.6 (Original),"November 4, 2019",3.0,6,3,6,3,12
13,arturteen(787),Bavaria 8.6 (Original),"October 22, 2019",2.3,5,3,4,2,9
14,"Holmen1(10,355)",Bavaria 8.6 (Original),"September 16, 2019",2.7,4,4,6,3,10
16,"ricardostercios(1,155)",Bavaria 8.6 (Original),"July 28, 2019",2.3,5,2,4,3,9
19,"mithe(2,677)",Bavaria 8.6 (Original),"June 11, 2019",2.2,4,4,3,3,8
20,Padchenko(677),Bavaria 8.6 (Original),"June 5, 2019",2.6,5,3,5,3,10
21,"Aggiebob(3,004)",Bavaria 8.6 (Original),"April 29, 2019",2.9,5,5,4,3,12
22,"vinivini(6,192)",Bavaria 8.6 (Original),"April 10, 2019",1.9,3,5,3,3,5
23,"melush(9,720)",Bavaria 8.6 (Original),"April 1, 2019",1.9,4,2,4,2,7
29,"Travlr(30,304)",Bavaria 8.6 (Original),"December 9, 2018",1.6,3,2,3,2,6
30,DraftAromas7(225),Bavaria 8.6 (Original),"December 4, 2018",0.7,2,2,1,1,1
31,"imdownthepub(20,517)",Bavaria 8.6 (Original),"November 28, 2018",1.8,3,3,3,2,7
32,"BeerandBlues2(17,649)",Bavaria 8.6 (Original),"October 30, 2018",1.8,4,4,3,2,5
33,"DraftPours23(2,095)",Bavaria 8.6 (Original),"October 11, 2018",2.1,6,3,4,1,7
36,"caketm(3,306)",Bavaria 8.6 (Original),"July 31, 2018",2.5,6,3,6,3,7
37,Brokkie(757),Bavaria 8.6 (Original),"July 19, 2018",3.1,5,3,7,4,12
38,"Borup(21,013)",Bavaria 8.6 (Original),"July 10, 2018",1.9,4,2,3,3,7
39,"Inoven(2,315)",Bavaria 8.6 (Original),"July 1, 2018",3.5,6,4,7,4,14
41,klukas(843),Bavaria 8.6 (Original),"May 6, 2018",2.4,5,3,4,3,9
43,"cmacklin(2,673)",Bavaria 8.6 (Original),"March 29, 2018",2.1,5,3,3,2,8
47,"ttppk197(2,870)",Bavaria 8.6 (Original),"June 22, 2019",1.5,3,2,3,1,6
48,"Zlotta(6,857)",Bavaria 8.6 (Original),"January 25, 2018",2.4,4,3,5,3,9
51,"TomHendriksen(4,139)",Bavaria 8.6 (Original),"December 28, 2017",3.0,6,3,6,3,12
53,dzenkalpic(140),Bavaria 8.6 (Original),"November 15, 2017",1.6,3,2,3,2,6
55,"dutchdarthvader(1,674)",Bavaria 8.6 (Original),"January 16, 2021",2.5,4,4,5,2,10
56,kybo92(114),Bavaria 8.6 (Original),"October 10, 2017",3.2,7,3,7,3,12
57,"Manslow(2,536)",Bavaria 8.6 (Original),"September 20, 2017",2.5,5,3,4,3,10
58,basjansen14(567),Bavaria 8.6 (Original),"September 6, 2017",2.6,5,3,5,3,10
60,"stantheman(1,865)",Bavaria 8.6 (Original),"August 10, 2017",1.9,3,5,3,3,5
62,MarcoBasile(590),Bavaria 8.6 (Original),"July 21, 2017",3.0,4,4,6,3,13
65,vlada94(540),Bavaria 8.6 (Original),"June 10, 2017",2.9,5,3,6,3,12
66,"PilsnerDoctor32(1,924)",Bavaria 8.6 (Original),"March 31, 2017",2.6,5,3,5,3,10
68,"jmgreenuk(14,585)",Bavaria 8.6 (Original),"February 15, 2017",2.3,5,2,5,2,9
69,eunck(316),Bavaria 8.6 (Original),"February 6, 2017",2.2,4,3,2,4,9
70,"Wim(5,297)",Bavaria 8.6 (Original),"January 22, 2017",2.4,5,3,5,3,8
71,Brentv(762),Bavaria 8.6 (Original),"January 19, 2017",0.7,2,2,1,1,1
72,"Grisza77(1,606)",Bavaria 8.6 (Original),"December 12, 2016",2.0,4,3,4,2,7
74,Evilman(264),Bavaria 8.6 (Original),"November 16, 2016",1.6,2,1,3,2,8
75,"Ferris(23,110)",Bavaria 8.6 (Original),"October 24, 2016",2.6,5,4,5,3,9
77,"nephirem(1,471)",Bavaria 8.6 (Original),"October 7, 2016",3.1,6,3,6,3,13
79,Bierdimpfe(640),Bavaria 8.6 (Original),"September 20, 2016",1.1,1,2,2,1,5
80,PintjeFritz(712),Bavaria 8.6 (Original),"August 29, 2016",1.8,3,2,4,2,7
81,"L_Lovecraft(1,133)",Bavaria 8.6 (Original),"August 3, 2016",2.3,5,3,6,3,6
82,"AndySnow(11,457)",Bavaria 8.6 (Original),"July 22, 2016",2.1,4,3,4,2,8
83,"allmyvinyl(13,613)",Bavaria 8.6 (Original),"July 5, 2016",2.7,5,4,5,3,10
84,"jesperhammer(6,293)",Bavaria 8.6 (Original),"June 29, 2016",2.7,5,3,5,3,11
85,"pkbites(1,295)",Bavaria 8.6 (Original),"June 7, 2016",2.9,3,3,4,3,16
86,"Beerhunter111(32,693)",Bavaria 8.6 (Original),"June 4, 2016",1.7,3,3,3,2,6
88,"PlutonowyMan(1,673)",Bavaria 8.6 (Original),"May 12, 2016",3.1,5,4,5,3,14
89,Teran(430),Bavaria 8.6 (Original),"May 11, 2016",2.2,4,2,4,1,11
90,"UDBeernut(2,883)",Bavaria 8.6 (Original),"April 8, 2016",2.0,4,2,4,2,8
91,"ALIBALI(4,265)",Bavaria 8.6 (Original),"March 15, 2016",1.7,3,3,4,2,5
92,Zilb(729),Bavaria 8.6 (Original),"March 13, 2016",2.7,5,3,6,1,12
93,"josanguapo(4,071)",Bavaria 8.6 (Original),"February 26, 2016",3.1,6,4,7,4,10
94,"thanatosti(3,084)",Bavaria 8.6 (Original),"February 22, 2016",2.1,5,3,5,2,6
95,Daanminator(476),Bavaria 8.6 (Original),"February 21, 2016",1.0,2,1,2,3,2
96,"midovark(3,305)",Bavaria 8.6 (Original),"February 2, 2016",1.7,4,2,3,2,6
97,Boxereddy(618),Bavaria 8.6 (Original),"January 23, 2016",2.0,4,3,4,2,7
99,"AlainG(3,051)",Bavaria 8.6 (Original),"January 6, 2016",1.5,3,3,3,3,3
100,"Rubin77(6,374)",Bavaria 8.6 (Original),"December 27, 2015",3.1,6,3,7,3,12
101,Hamirubi(634),Bavaria 8.6 (Original),"December 20, 2015",2.5,4,2,6,2,11
102,"artyom(1,557)",Bavaria 8.6 (Original),"December 1, 2015",1.6,4,2,3,2,5
103,"Hrc_Cro(1,012)",Bavaria 8.6 (Original),"November 11, 2015",3.0,7,4,5,3,11
104,"Camons(18,620)",Bavaria 8.6 (Original),"November 7, 2015",2.3,5,3,4,3,8
105,hamilton_w(345),Bavaria 8.6 (Original),"December 19, 2015",1.5,3,2,2,2,6
106,"Gangstergafje(2,467)",Bavaria 8.6 (Original),"November 4, 2015",3.7,7,3,8,5,14
107,sjorsvdg(901),Bavaria 8.6 (Original),"October 30, 2015",2.3,3,3,5,3,9
108,"Erzengel(12,957)",Bavaria 8.6 (Original),"October 23, 2015",2.3,5,4,5,4,5
109,"VDuquerroux(3,822)",Bavaria 8.6 (Original),"September 22, 2015",2.7,5,3,5,3,11
110,"Strangebrewer(1,777)",Bavaria 8.6 (Original),"September 13, 2015",3.3,5,3,6,4,15
112,"Pinball(13,340)",Bavaria 8.6 (Original),"September 2, 2015",2.9,6,3,6,3,11
113,"labeerinthum(4,892)",Bavaria 8.6 (Original),"July 11, 2015",2.9,5,3,6,4,11
114,"huineman(1,108)",Bavaria 8.6 (Original),"May 29, 2015",4.1,8,3,8,5,17
115,"FireGlider(1,239)",Bavaria 8.6 (Original),"May 23, 2015",3.2,6,3,7,3,13
116,AlexGR(167),Bavaria 8.6 (Original),"May 2, 2015",1.5,3,2,3,3,4
117,"tmrmwel(3,541)",Bavaria 8.6 (Original),"April 21, 2015",2.4,7,3,4,2,8
118,"Alengrin(8,905)",Bavaria 8.6 (Original),"April 11, 2015",1.8,3,3,4,2,6
119,"goozen(4,816)",Bavaria 8.6 (Original),"April 10, 2015",2.1,3,3,4,2,9
120,"markextrae(4,791)",Bavaria 8.6 (Original),"March 9, 2015",1.5,2,1,1,1,10
121,"Christos(6,100)",Bavaria 8.6 (Original),"January 5, 2015",2.9,5,3,5,3,13
122,"vipinvelp(5,994)",Bavaria 8.6 (Original),"January 2, 2015",3.0,6,3,6,3,12
123,"blackisle(4,154)",Bavaria 8.6 (Original),"December 21, 2014",2.6,6,3,6,2,9
124,"MarcoDL(7,813)",Bavaria 8.6 (Original),"December 19, 2014",1.1,2,2,2,2,3
125,"Borresteijn(9,395)",Bavaria 8.6 (Original),"November 16, 2014",2.2,4,3,5,2,8
126,"markoijelena(4,208)",Bavaria 8.6 (Original),"November 5, 2014",2.2,5,3,5,3,6
127,"Rob_D_UK(1,366)",Bavaria 8.6 (Original),"November 3, 2014",1.8,3,2,3,2,8
129,"Palme(5,032)",Bavaria 8.6 (Original),"October 20, 2014",1.8,3,3,3,3,6
130,terrybail(704),Bavaria 8.6 (Original),"October 18, 2014",1.5,3,2,4,1,5
131,"inbirraveritas(1,666)",Bavaria 8.6 (Original),"September 15, 2014",1.8,3,3,3,2,7
132,"adster(1,138)",Bavaria 8.6 (Original),"August 30, 2014",2.4,5,3,4,2,10
133,Frode(383),Bavaria 8.6 (Original),"August 29, 2014",2.2,4,3,5,3,7
134,"angel77(5,902)",Bavaria 8.6 (Original),"August 27, 2014",2.2,4,3,5,2,8
135,"Jimthechap(2,057)",Bavaria 8.6 (Original),"August 27, 2014",2.8,6,3,6,2,11
136,"The_Osprey(10,573)",Bavaria 8.6 (Original),"August 10, 2014",2.3,4,3,4,3,9
137,"stravale(3,335)",Bavaria 8.6 (Original),"July 25, 2014",2.2,5,3,4,2,8
138,"Taboada(3,737)",Bavaria 8.6 (Original),"July 3, 2014",2.0,3,2,5,2,8
139,Rotaldinho(207),Bavaria 8.6 (Original),"June 29, 2014",1.9,3,2,4,1,9
141,"miquelcrush(2,052)",Bavaria 8.6 (Original),"June 27, 2014",2.2,4,2,4,2,10
142,massingasetta(937),Bavaria 8.6 (Original),"June 19, 2014",2.9,6,4,5,3,11
144,"Icedwarf(3,079)",Bavaria 8.6 (Original),"May 28, 2014",1.9,3,3,2,2,9
145,Hidden_Pooch(518),Bavaria 8.6 (Original),"May 28, 2014",0.8,2,2,1,1,2
146,BrewGoblin(632),Bavaria 8.6 (Original),"May 20, 2014",1.4,3,2,3,2,4
147,"budedou(1,529)",Bavaria 8.6 (Original),"April 20, 2014",2.7,3,2,6,3,13
148,"Renobob(2,063)",Bavaria 8.6 (Original),"March 24, 2014",2.1,3,2,6,2,8
149,exeter(546),Bavaria 8.6 (Original),"March 1, 2014",1.7,3,2,3,2,7
150,"Hoppy_Luke(2,475)",Bavaria 8.6 (Original),"November 22, 2018",1.9,4,2,4,2,7
151,"freretoc(1,935)",Bavaria 8.6 (Original),"February 15, 2014",1.0,2,2,2,2,2
152,"teddybeer(5,468)",Bavaria 8.6 (Original),"February 13, 2014",2.5,4,3,5,3,10
153,"Lowenbrau(5,490)",Bavaria 8.6 (Original),"February 11, 2014",2.5,6,3,4,2,10
155,"Tessic(1,809)",Bavaria 8.6 (Original),"February 6, 2014",2.2,5,2,4,3,8
156,"GBZ59(1,217)",Bavaria 8.6 (Original),"February 6, 2014",3.1,6,3,7,3,12
157,"ruigo(3,079)",Bavaria 8.6 (Original),"January 29, 2014",2.0,6,2,4,2,6
158,"Davros(4,016)",Bavaria 8.6 (Original),"January 29, 2014",2.0,5,2,4,2,7
159,"Trolleo(5,972)",Bavaria 8.6 (Original),"February 14, 2014",2.0,4,2,3,3,8
160,"veceo(1,361)",Bavaria 8.6 (Original),"June 9, 2014",1.3,2,2,2,3,4
161,"Iznogud(9,003)",Bavaria 8.6 (Original),"January 18, 2014",1.1,2,1,3,1,4
162,"Blade86(1,578)",Bavaria 8.6 (Original),"January 15, 2014",2.4,4,3,5,3,9
163,"Sissio(2,126)",Bavaria 8.6 (Original),"January 14, 2014",2.5,6,4,5,2,8
164,"bonkiedeaap(1,299)",Bavaria 8.6 (Original),"December 11, 2013",2.2,4,2,5,2,9
166,"yespr(54,633)",Bavaria 8.6 (Original),"November 12, 2013",2.1,4,3,4,3,7
167,"RuneStumo(3,260)",Bavaria 8.6 (Original),"October 8, 2013",2.8,6,3,6,3,10
168,"Calisky(4,319)",Bavaria 8.6 (Original),"October 6, 2013",1.7,3,3,3,2,6
169,dr.dod(738),Bavaria 8.6 (Original),"September 18, 2013",2.2,5,2,5,2,8
171,GarnotingPete(776),Bavaria 8.6 (Original),"August 26, 2013",2.5,6,3,3,3,10
172,"rok1024(1,401)",Bavaria 8.6 (Original),"August 15, 2013",2.0,5,2,4,2,7
173,"Zita(6,332)",Bavaria 8.6 (Original),"August 11, 2013",2.0,3,3,4,3,7
174,"Hansen(8,769)",Bavaria 8.6 (Original),"August 11, 2013",2.1,4,2,4,3,8
175,shorlin(721),Bavaria 8.6 (Original),"August 9, 2013",1.4,3,1,2,3,5
177,"Shaney(2,421)",Bavaria 8.6 (Original),"July 7, 2013",2.0,4,2,4,2,8
178,"ManVsBeer(15,716)",Bavaria 8.6 (Original),"July 4, 2013",2.5,5,4,4,3,9
179,"77ships(14,200)",Bavaria 8.6 (Original),"June 30, 2013",2.7,5,3,5,3,11
181,"MichaelAwesome(7,159)",Bavaria 8.6 (Original),"May 1, 2013",2.8,5,3,6,3,11
182,"McTapps(7,976)",Bavaria 8.6 (Original),"May 1, 2013",2.6,5,3,6,4,8
183,"ShivanDragon(6,884)",Bavaria 8.6 (Original),"April 27, 2013",2.0,4,3,6,3,4
185,The Etruscan(813),Bavaria 8.6 (Original),"November 9, 2012",2.6,5,3,6,3,9
186,"fonefan(65,420)",Bavaria 8.6 (Original),"October 10, 2012",2.3,5,3,4,3,8
187,"Rasmus40(29,111)",Bavaria 8.6 (Original),"September 15, 2012",1.7,3,3,3,2,6
188,"chrisv10(23,082)",Bavaria 8.6 (Original),"September 15, 2012",2.1,4,2,4,3,8
189,"saxo(24,777)",Bavaria 8.6 (Original),"September 15, 2012",2.2,4,2,5,2,9
190,"DJoer(1,291)",Bavaria 8.6 (Original),"September 5, 2012",2.3,5,2,4,2,10
191,"czar(12,504)",Bavaria 8.6 (Original),"August 19, 2012",2.2,5,3,4,2,8
192,"trapped(6,204)",Bavaria 8.6 (Original),"June 16, 2012",2.4,4,3,4,3,10
193,"reebtogi(6,488)",Bavaria 8.6 (Original),"May 31, 2012",2.7,5,3,6,3,10
194,darioklc(933),Bavaria 8.6 (Original),"May 19, 2012",2.7,6,4,6,4,7
195,"Arve_Christian(5,277)",Bavaria 8.6 (Original),"May 12, 2012",1.5,3,5,2,2,3
197,"Lagerboy(2,388)",Bavaria 8.6 (Original),"April 22, 2012",2.4,5,3,5,2,9
198,"Grzesiek79(5,900)",Bavaria 8.6 (Original),"March 23, 2012",3.9,7,3,8,4,17
199,scanovajr(794),Bavaria 8.6 (Original),"January 5, 2012",2.0,4,2,4,2,8
200,"decaturstevo(6,342)",Bavaria 8.6 (Original),"December 21, 2011",2.4,5,4,4,3,8
201,"probstblueribbon(3,789)",Bavaria 8.6 (Original),"November 14, 2011",1.5,3,3,3,3,3
202,"Metalchopz(5,174)",Bavaria 8.6 (Original),"September 15, 2011",2.4,5,3,5,2,9
203,"Benzai(20,022)",Bavaria 8.6 (Original),"September 5, 2011",3.4,6,3,7,4,14
205,"Countbeer(6,587)",Bavaria 8.6 (Original),"August 6, 2011",1.8,3,2,4,2,7
206,"northropfrye(4,258)",Bavaria 8.6 (Original),"July 27, 2011",1.9,2,3,4,2,8
207,"DutchDrebus(6,999)",Bavaria 8.6 (Original),"June 25, 2011",3.5,7,4,7,3,14
208,"Koelschtrinker(28,840)",Bavaria 8.6 (Original),"June 21, 2011",3.0,7,3,6,3,11
209,"DSG(20,920)",Bavaria 8.6 (Original),"June 21, 2011",1.6,3,3,3,2,5
210,"Martinus(5,015)",Bavaria 8.6 (Original),"May 23, 2011",2.2,4,3,4,3,8
211,"deanso(13,380)",Bavaria 8.6 (Original),"February 21, 2011",1.8,3,2,3,3,7
212,"Wolfbass(1,318)",Bavaria 8.6 (Original),"January 6, 2011",1.5,4,1,3,2,5
213,"jaghana(7,313)",Bavaria 8.6 (Original),"December 12, 2010",2.7,6,3,5,3,10
216,"Finn(13,216)",Bavaria 8.6 (Original),"September 21, 2010",3.0,4,3,6,4,13
217,"dEnk(4,200)",Bavaria 8.6 (Original),"September 19, 2010",2.0,3,2,3,3,9
218,psilosophy(861),Bavaria 8.6 (Original),"September 15, 2010",2.3,5,2,4,2,10
220,TheHulk(486),Bavaria 8.6 (Original),"August 8, 2010",1.8,3,2,4,1,8
221,Cole(967),Bavaria 8.6 (Original),"August 8, 2010",1.6,2,2,3,2,7
222,"Jerre(5,371)",Bavaria 8.6 (Original),"August 5, 2010",2.5,5,2,6,3,9
223,"sebletitje(11,868)",Bavaria 8.6 (Original),"June 25, 2010",1.7,4,1,4,1,7
224,"Muggus69(3,694)",Bavaria 8.6 (Original),"June 24, 2010",2.2,4,2,4,3,9
225,"luttonm(7,593)",Bavaria 8.6 (Original),"February 22, 2010",2.6,5,2,5,3,11
